,title,lastrevid
32982779,Abdulrahman al-Nuaimi,1066056398.0
65763331,Ammar Qambar,1086832849.0
32612135,Isa Qassim,1100527312.0
65628587,Ahmed Al-Salloum,1108146191.0
1623346,Salman bin Hamad Al Khalifa,1109869774.0
9165486,Oli Ahad,1076894174.0
62016793,Farid Ahmed,1066581020.0
61608207,Muzaffar Ahmed (NAP politician),1109740890.0
70349044,AKM Hafizuddin,1082571647.0
63544563,Mohammad Manjur Alam,1099697606.0
62805194,Aftab Ali,1111168357.0
10968822,M Hossain Ali,1081670946.0
49315431,Ashab Uddin Ahmad,1106492750.0
55685860,Selina Banu,1059919387.0
10895023,Nurul Huq Bhuiyan,1087353972.0
55983169,Bishnu Chattopadhyay,1108066856.0
54988209,AKM Fazlul Kabir Chowdhury,1115026757.0
14103209,Aminul Islam Chowdhury,1068738297.0
1727235,Anwarul Karim Chowdhury,1097570502.0
39075477,Moinuddin Ahmed Chowdhury,1038606051.0
62016707,Sarwar Jan Chowdhury,1052088875.0
61598366,Shahinur Pasha Chowdhury,1102455717.0
17194591,Yusuf Ali Chowdhury,1098197979.0
28833112,Haji Mohammad Danesh,1090578062.0
42160545,Pulin De,1038607348.0
63895051,James Leo Ferguson,1098196717.0
52225799,Abdul Halim Ghaznavi,1112056773.0
62916365,Debendra Nath Ghosh,1110092316.0
50749999,Ranesh Das Gupta,1038609480.0
64433698,AKM Fazlul Haque (Bangladeshi politician),1069141674.0
7984185,Abul Hashim,1067903741.0
58165993,Syed Najmuddin Hashim,1076061150.0
35859918,M. Anwar Hossain,1049654323.0
61593710,Nozir Hossain,1085128926.0
59393390,Syed Muhammad Ibrahim,1113135652.0
9205342,Abul Kashem,1094440759.0
18165642,Abul Kashem Khan,1097883330.0
53059358,Hatem Ali Khan,1085849741.0
10040343,Muhammad Hamidullah Khan,1112460308.0
41459170,Yar Mohammad Khan,1113198175.0
17924011,Jyotirindra Bodhipriya Larma,1106007965.0
